covid_confirmed,covid_deaths,neighbors,measures,trends_covid,covid_tweets,pop,female,young,elderly,GDP,health_exp,internet
266,7,3.0,2.3793103448275863,7.910714285714286,426.0,2862427,50.05657786207299,17.237959256253518,14.086507708318848,15102500898.238,8.266948886653958,71.84704050438441
5610,10,8.0,3.0,12.428571428571429,18102.0,8858775,50.816755138266856,14.43418531343216,18.835098532246274,455285818035.125,10.396616905927699,87.93558659
6169,32,4.0,3.0,9.625,34044.0,11455519,50.72396108810085,16.931280023192315,18.90319417217151,542761092103.469,10.338669270277,87.67968082
260,11,5.0,2.0,2.392857142857143,2153.0,7000039,51.49025598285952,14.354848594414976,21.330152589149858,65132951116.4756,8.095603436231611,63.41010138
12951,97,5.0,1.0,17.321428571428573,36673.0,8544527,50.41128666338114,15.024190338447056,18.45978133137153,705140354166.312,12.346322089433698,89.68614767
162,0,0.0,2.0,6.482142857142857,0.0,875899,51.15521310105389,16.1210367862048,16.110533292080483,24961988663.2026,6.68456926941872,80.74318897
1633,0,4.0,3.0,3.5357142857142856,2870.0,10649800,50.75781704820747,15.89757554132472,19.593015831283214,245225882903.37,7.2313390672206905,78.71916143
41520,78,9.0,2.0,12.446428571428571,144579.0,83019213,50.653963679467786,13.600243355715742,21.541437642874307,3947620162502.96,11.246834695339198,84.39550077
5912,10,1.0,3.0,5.321428571428571,5883.0,5806081,50.240566743729545,16.49081368310225,19.56677834842469,355675329085.952,10.108279436826699,97.09936216
891,0,1.0,2.3793103448275863,3.5357142857142856,1159.0,1324820,52.77584879455322,16.41151250735949,19.764798236741594,30732144528.9795,6.42935782670975,88.10245687
2064,19,4.0,3.0,2.0535714285714284,8903.0,10724599,51.43601173339908,14.332237503705269,22.036003397423066,218031844583.994,8.04139003157616,70.54943345211291
51007,1702,2.0,3.0,18.910714285714285,161550.0,46937060,50.97848267445809,14.764701922105901,19.399542706765192,1419041949909.82,8.873129636049269,84.6022428
1536,0,2.0,2.0,2.6785714285714284,6403.0,5517919,50.64643029373936,15.988527559030857,21.83498887895962,276743120515.764,9.20693874359131,87.46892907
39065,784,6.0,3.0,17.857142857142858,316615.0,67012883,51.671222681167144,17.978438563820628,20.10072152842611,2777535239277.98,11.312892287969598,80.50245972
401,0,4.0,2.0,3.2857142857142856,1724.0,4076246,51.60812178656538,14.4197872257955,20.57282607575696,60971699315.1776,6.78913369774818,67.09619204
231,3,6.0,2.0,1.9821428571428572,1974.0,9772756,52.15453041086874,14.547984212437106,19.339058501000128,157882912778.254,6.879989802837371,76.75054712
953,11,1.0,3.0,17.660714285714285,62238.0,4904240,50.47385527625075,20.548708872322727,14.098800221848851,382487490532.479,7.18438327312469,84.1140070623844
1401,6,0.0,2.3793103448275863,6.464285714285714,1895.0,356991,48.78386289850446,18.996837455285988,14.212963352017276,25878475760.1131,8.32629129290581,98.26
202336,13243,4.0,3.0,32.285714285714285,53126.0,60359546,51.31711891935039,13.191310285865967,22.835791375899355,2083864259622.65,8.84025916457176,63.077346999999996
29,0,2.0,2.3793103448275863,17.785714285714285,280.0,38378,50.42732815675648,14.735004429621133,17.877429777476674,6214633651.30911,8.266948886653958,98.1
86,0,2.0,2.3793103448275863,2.892857142857143,363.0,2794184,53.63258110417925,15.097681469795836,19.768669493490766,53429066429.1251,6.457564234733581,77.61525651
408,4,3.0,2.0,15.142857142857142,2521.0,613894,49.71118792495121,16.062544999625338,14.388151700456431,70885325883.0941,5.481074377894401,97.36296032
198,0,2.0,2.0,3.0,1264.0,1919968,53.91022142035701,15.889848164136069,20.259660577676296,34409229177.9105,5.95566183328629,80.11407700000001
2,0,3.0,2.3793103448275863,2.5,251.0,622182,50.54308867823242,17.961464651822137,15.158587037233474,5504166666.66667,8.266948886653958,71.27233254
128,0,4.0,2.3793103448275863,5.017857142857143,606.0,2077132,49.921333839159004,16.366557349268124,14.05404182305217,12672131053.1578,6.06211498379707,74.51682418
145,0,0.0,2.3793103448275863,15.321428571428571,2094.0,493559,48.975502422202815,13.676986945836262,18.676591856292767,14553422928.8831,9.34099927544594,81.0119110762945
8486,131,2.0,2.0,8.267857142857142,36981.0,17282163,50.34715272619521,15.853449594243498,19.175863576798807,913658465709.125,10.1008348166943,93.19727891
8681,12,2.0,3.0,5.089285714285714,5579.0,5328212,49.60649088287028,17.547312306642453,17.244828096179358,434166615431.909,10.446342080831501,96.3576013
846,18,4.0,2.0,1.2321428571428572,8391.0,37972812,51.59595765517708,15.363073453712092,17.66011956133246,585663814824.044,6.5419539809227,75.98536595
1574,1,1.0,3.0,11.660714285714286,11419.0,10276617,52.782457495496814,13.696783678909117,21.838169117327233,240674524464.24,8.96957442164421,73.79121395
879,0,3.0,3.0,10.875,3121.0,19414458,51.06507737687036,15.669981618853333,18.52411743866349,239552516744.469,5.15788830816746,63.74728218
289,0,6.0,1.0,1.6607142857142858,3731.0,6963764,51.279064023421824,14.305539360610151,20.421197501810802,50597289146.7041,8.433958142995829,70.33083553
7490,21,2.0,2.0,6.821428571428571,13604.0,10230185,49.732697893537605,17.787840591348054,19.899063408921734,556086488936.559,11.018746346235302,95.51006745
1294,4,4.0,2.0,4.857142857142857,1507.0,2080908,50.08640458876606,15.075438222160713,19.84970022701628,54007972106.4629,8.187017589807509,78.88542636
306,0,4.0,2.0,4.017857142857143,1485.0,5450421,51.17667057278695,15.742673822811119,16.041311304209348,105904632155.755,6.74253478646278,81.62566752
83,1,2.0,2.0,1.125,0.0,82003882,49.83166772519379,23.394415644859354,8.763248549623539,771350330455.2671,4.21630293130875,64.68461768
9399,194,1.0,3.0,14.589285714285714,682537.0,66647112,50.633965954893895,17.915176879682353,18.413968185148068,2855296731521.96,9.631694108247759,94.62
