geo,pop,female,male,young,elderly
AL,2862427,50.05657786207299,49.94342213792701,17.23795925625352,14.08650770831885
AT,8858775,50.816755138266856,49.183244861733144,14.434185313432161,18.835098532246274
BE,11455519,50.72396108810085,49.27603891189915,16.931280023192315,18.90319417217151
BG,7000039,51.49025598285952,48.50974401714048,14.354848594414975,21.33015258914986
CH,8544527,50.411286663381134,49.588713336618866,15.024190338447054,18.45978133137153
CY,875899,51.15521310105389,48.84478689894611,16.1210367862048,16.11053329208048
CZ,10649800,50.75781704820748,49.24218295179252,15.89757554132472,19.593015831283218
DE,83019213,50.653963679467786,49.346036320532214,13.600243355715742,21.541437642874307
DK,5806081,50.240566743729545,49.759433256270455,16.49081368310225,19.566778348424695
EE,1324820,52.77584879455322,47.22415120544678,16.41151250735949,19.764798236741594
EL,10724599,51.43601173339908,48.56398826660092,14.332237503705267,22.036003397423066
ES,46937060,50.97848267445809,49.02151732554191,14.764701922105901,19.39954270676519
FI,5517919,50.646430293739364,49.353569706260636,15.988527559030858,21.83498887895962
FR,67012883,51.671222681167144,48.328777318832856,17.97843856382063,20.10072152842611
HR,4076246,51.608121786565384,48.391878213434616,14.419787225795499,20.572826075756957
HU,9772756,52.154530410868745,47.845469589131255,14.547984212437106,19.339058501000128
IE,4904240,50.47385527625075,49.52614472374925,20.548708872322724,14.09880022184885
IS,356991,48.783862898504445,51.216137101495555,18.996837455285988,14.212963352017278
IT,60359546,51.317118919350385,48.682881080649615,13.191310285865967,22.835791375899348
LI,38378,50.427328156756474,49.572671843243526,14.735004429621137,17.877429777476678
LT,2794184,53.63258110417925,46.36741889582075,15.097681469795834,19.768669493490766
LU,613894,49.71118792495121,50.28881207504879,16.06254499962534,14.388151700456431
LV,1919968,53.910221420357004,46.089778579642996,15.889848164136069,20.259660577676296
ME,622182,50.543088678232415,49.456911321767585,17.961464651822137,15.158587037233477
MK,2077132,49.921333839159,50.078666160841,16.366557349268124,14.05404182305217
MT,493559,48.975502422202815,51.024497577797185,13.676986945836262,18.676591856292763
NL,17282163,50.34715272619521,49.65284727380479,15.853449594243498,19.175863576798807
NO,5328212,49.606490882870276,50.393509117129724,17.547312306642453,17.244828096179358
PL,37972812,51.59595765517708,48.40404234482292,15.363073453712092,17.66011956133246
PT,10276617,52.782457495496814,47.217542504503186,13.696783678909119,21.83816911732723
RO,19414458,51.06507737687037,48.93492262312963,15.669981618853331,18.524117438663495
RS,6963764,51.27906402342182,48.72093597657818,14.305539360610153,20.421197501810802
SE,10230185,49.732697893537605,50.267302106462395,17.787840591348054,19.899063408921734
SI,2080908,50.08640458876606,49.91359541123394,15.075438222160711,19.84970022701628
SK,5450421,51.176670572786946,48.823329427213054,15.742673822811119,16.041311304209344
TR,82003882,49.83166772519379,50.16833227480621,23.39441564485935,8.76324854962354
UK,66647112,50.63396595489389,49.36603404510611,17.91517687968235,18.413968185148068
